"","educ","mes","trabaja","se trabaja","Freq","cv"
"1",0,1,30191.64007269,3855.68259081611,106,0.127706960653118
"2",0,2,29509.77883876,3534.87051027087,105,0.119786411466695
"3",0,3,30437.97309851,3095.44836223185,111,0.101696928117181
"4",0,4,30779.00156385,3757.11297848609,113,0.122067409194287
"5",1,1,47743.7777106,4599.74271697147,212,0.0963422447392605
"6",1,2,47739.37170061,4844.02572010451,202,0.101468149821557
"7",1,3,50473.07226937,5058.48844414831,208,0.100221528365692
"8",1,4,48333.6217459,4756.35830842013,208,0.098406826068721
"9",2,1,75389.90032745,5443.4540328765,358,0.0722040221466442
"10",2,2,76498.49806909,6935.04426393432,362,0.0906559532406885
"11",2,3,70892.54458584,6529.2416991875,341,0.0921005408584479
"12",2,4,73468.4936266,6080.3933139562,336,0.082761916214854
"13",3,1,15602.45949824,2093.00135237275,73,0.134145603942048
"14",3,2,17566.64289159,2348.09475828957,78,0.133667814207899
"15",3,3,17084.91841121,2325.61808732505,88,0.136121111693406
"16",3,4,16541.34218996,2215.70775125726,77,0.133949695605844
"17",4,1,33485.59190553,8391.8520378968,136,0.250610831714488
"18",4,2,35466.69961103,8598.46732441356,136,0.24243776327413
"19",4,3,35505.11121965,8762.33376696271,136,0.2467907708486
"20",4,4,34131.16702693,9084.5138394091,127,0.266164758803626
