"","sector","mes","esc","se","cv","n.."
"1","Administracion Publica",1,13.4998925112481,0.702238567089844,5.2,53
"2","Administracion Publica",2,13.6375075628017,0.592915200126946,4.35,55
"3","Administracion Publica",3,13.7308115385896,0.743823660652513,5.42,48
"4","Administracion Publica",4,13.8073064280104,0.708631735911592,5.13,54
"5","Agropecuario-Silvicola",1,8.44726214596462,0.570224374151612,6.75,154
"6","Agropecuario-Silvicola",2,8.23885960020719,0.535920943065494,6.5,125
"7","Agropecuario-Silvicola",3,8.30275889359929,0.587861399914741,7.08,113
"8","Agropecuario-Silvicola",4,8.19782258203895,0.654667294398207,7.99,122
"9","Comercio",1,11.1508486126172,0.409806834726231,3.68,170
"10","Comercio",2,10.3285759283596,0.389317503006276,3.77,175
"11","Comercio",3,10.6998219517556,0.399864415535856,3.74,187
"12","Comercio",4,10.6881217999985,0.367311129396831,3.44,182
"13","Construccion",1,10.6452642716355,0.68028952415205,6.39,71
"14","Construccion",2,10.4552315309647,0.659413101455098,6.31,52
"15","Construccion",3,10.0607234313887,0.542787246930582,5.4,63
"16","Construccion",4,9.65929528041683,0.601587035182542,6.23,76
"17","Electricidad, Gas y Agua",1,8.8369777376654,1.94173512732381,21.97,9
"18","Electricidad, Gas y Agua",2,9.73686715473062,1.44984118885505,14.89,9
"19","Electricidad, Gas y Agua",3,11.535549092094,0.577639695265713,5.01,10
"20","Electricidad, Gas y Agua",4,11.3525664467074,1.60453896130265,14.13,10
"21","Hoteles y Restoranes",1,11.1483243339535,0.619758508962465,5.56,42
"22","Hoteles y Restoranes",2,11.6599126761265,0.619163375774897,5.31,43
"23","Hoteles y Restoranes",3,11.7071705237902,0.604544208200871,5.16,33
"24","Hoteles y Restoranes",4,11.3601384379885,0.586141998513079,5.16,32
"25","Industria Manufacturera",1,10.2107937981256,0.52898251877705,5.18,77
"26","Industria Manufacturera",2,10.8569317768751,0.374648061291623,3.45,97
"27","Industria Manufacturera",3,9.95354293890153,0.427116091375643,4.29,103
"28","Industria Manufacturera",4,10.3402901000223,0.414154196620566,4.01,90
"29","Inmobiliarias",1,13.9239862455772,0.731462779439438,5.25,35
"30","Inmobiliarias",2,14.5329975208524,0.865437241779933,5.95,45
"31","Inmobiliarias",3,13.755813163178,0.607469535945112,4.42,36
"32","Inmobiliarias",4,13.0736434437156,0.970328686074633,7.42,44
"33","Intermediacion Financiera",1,13.8081190464076,0.637009234253,4.61,13
"34","Intermediacion Financiera",2,14.1680885256741,0.87547509206202,6.18,10
"35","Intermediacion Financiera",3,14.2448915061989,1.0536480401728,7.4,9
"36","Intermediacion Financiera",4,14.1070789939315,1.27209879799998,9.02,8
"37","Mineria",1,10.3946602344632,0.775093046464652,7.46,3
"38","Mineria",2,11.6457938526927,1.20456835033623,10.34,3
"39","Mineria",3,8,0,0,1
"40","Mineria",4,8,0,0,2
"41","Servicios Sociales y Personales",1,13.4023467133317,0.384879270580698,2.87,212
"42","Servicios Sociales y Personales",2,13.298742065398,0.400745018104728,3.01,224
"43","Servicios Sociales y Personales",3,13.0924374985403,0.351531447257458,2.68,239
"44","Servicios Sociales y Personales",4,13.3363826381044,0.332012575532748,2.49,208
"45","Transporte y Comunicaciones",1,10.9434436907488,0.669063206831803,6.11,46
"46","Transporte y Comunicaciones",2,10.9361572381057,0.572854165810804,5.24,45
"47","Transporte y Comunicaciones",3,11.4601615102789,0.531383542309735,4.64,42
"48","Transporte y Comunicaciones",4,11.6716125323736,0.654533691259146,5.61,34
