"","sector","mes","superior.x","se","cv","superior.y","n"
"1","Administracion Publica",1,0.497131476556146,0.0947106267335346,19.05,"TRUE",24
"2","Administracion Publica",2,0.449354529554856,0.0936127306020433,20.83,"TRUE",22
"3","Administracion Publica",3,0.469970498639586,0.121151609166266,25.78,"TRUE",21
"4","Administracion Publica",4,0.468383557528005,0.104986806072002,22.41,"TRUE",23
"5","Agropecuario-Silvicola",1,0.0724666928822868,0.0392577098633958,54.17,"TRUE",10
"6","Agropecuario-Silvicola",2,0.090084494970485,0.0437206158209749,48.53,"TRUE",8
"7","Agropecuario-Silvicola",3,0.0750509517444201,0.0499956698740784,66.62,"TRUE",6
"8","Agropecuario-Silvicola",4,0.0746730945063966,0.049298060746737,66.02,"TRUE",7
"9","Comercio",1,0.10959820933533,0.0277005703194286,25.27,"TRUE",22
"10","Comercio",2,0.0705436570945005,0.0199375611312114,28.26,"TRUE",17
"11","Comercio",3,0.0897296658584478,0.0265701421584437,29.61,"TRUE",23
"12","Comercio",4,0.0988358926774645,0.0273942251937886,27.72,"TRUE",23
"13","Construccion",1,0.139961788561219,0.050068749517279,35.77,"TRUE",8
"14","Construccion",2,0.11995556176372,0.0527328354815705,43.96,"TRUE",8
"15","Construccion",3,0.142307330910752,0.0578965605333173,40.68,"TRUE",8
"16","Construccion",4,0.166544997667081,0.0573103548089346,34.41,"TRUE",13
"17","Electricidad, Gas y Agua",1,0,0,NA,"TRUE",0
"18","Electricidad, Gas y Agua",2,0.039137827464057,0.0412618848606097,105.43,"TRUE",1
"19","Electricidad, Gas y Agua",3,0.0555693374193905,0.0567193798875052,102.07,"TRUE",1
"20","Electricidad, Gas y Agua",4,0.215160286209272,0.111103332661789,51.64,"TRUE",2
"21","Hoteles y Restoranes",1,0.221554532355185,0.0834398277103636,37.66,"TRUE",8
"22","Hoteles y Restoranes",2,0.265323788363335,0.0874698262107476,32.97,"TRUE",8
"23","Hoteles y Restoranes",3,0.191226345787476,0.0764977127310166,40,"TRUE",5
"24","Hoteles y Restoranes",4,0.155721015003906,0.0653699004971514,41.98,"TRUE",6
"25","Industria Manufacturera",1,0.189343564001906,0.0558784519430326,29.51,"TRUE",13
"26","Industria Manufacturera",2,0.154960933332817,0.0528213829986934,34.09,"TRUE",14
"27","Industria Manufacturera",3,0.162485962518105,0.0477210557807646,29.37,"TRUE",15
"28","Industria Manufacturera",4,0.173036020395288,0.0496168837997176,28.67,"TRUE",12
"29","Inmobiliarias",1,0.366815545460561,0.137903005087432,37.59,"TRUE",13
"30","Inmobiliarias",2,0.550167046398769,0.123609817714146,22.47,"TRUE",18
"31","Inmobiliarias",3,0.599505135937945,0.0808769060450142,13.49,"TRUE",20
"32","Inmobiliarias",4,0.376540474729162,0.140743144506908,37.38,"TRUE",13
"33","Intermediacion Financiera",1,0.532281068513574,0.188532422877903,35.42,"TRUE",9
"34","Intermediacion Financiera",2,0.543692845285532,0.241117050308371,44.35,"TRUE",8
"35","Intermediacion Financiera",3,0.586478256023181,0.283554293541307,48.35,"TRUE",8
"36","Intermediacion Financiera",4,0.482325779112549,0.279370032169381,57.92,"TRUE",7
"37","Mineria",1,0,0,NA,"TRUE",0
"38","Mineria",2,0,0,NA,"TRUE",0
"39","Mineria",3,0,0,NA,"TRUE",0
"40","Mineria",4,0,0,NA,"TRUE",0
"41","Servicios Sociales y Personales",1,0.500878385442526,0.0473054221409083,9.44,"TRUE",100
"42","Servicios Sociales y Personales",2,0.508093756707232,0.0431346082142209,8.49,"TRUE",107
"43","Servicios Sociales y Personales",3,0.492064162917543,0.0445347665137675,9.05,"TRUE",113
"44","Servicios Sociales y Personales",4,0.489365928121519,0.0446719660727846,9.13,"TRUE",96
"45","Transporte y Comunicaciones",1,0.038875306125899,0.0266679366978175,68.6,"TRUE",2
"46","Transporte y Comunicaciones",2,0.0382605440606075,0.0264686516934875,69.18,"TRUE",3
"47","Transporte y Comunicaciones",3,0.11328399018164,0.0622556533194254,54.96,"TRUE",4
"48","Transporte y Comunicaciones",4,0.131471594717193,0.0861629590982951,65.54,"TRUE",2
