"","region_e","estimate","estimate_cv"
"1","1",0.0441871907543607,0.187809192984576
"2","10",0.00925366159035757,0.601791143118163
"3","11",0.0441131195973128,0.296528248124973
"4","12",0.010740119664633,0.721588636417851
"5","13",0.000205008384819843,0.631239967807925
"6","14",0.00591352484948146,0.717035951285389
"7","15",0.00833888600121808,0.998960730860475
"8","16",0.0289931150034654,0.324877888135964
"9","2",0.148404337055713,0.0794268679328932
"10","3",0.0933581852587596,0.177903191625091
"11","4",0.0370852954627346,0.403758418406373
"12","5",0.0221797273629728,0.170164364121221
"13","6",0.0381540980105838,0.193332946841768
"14","7",0.0182633933491781,0.200400382381374
"15","8",0.0151337998017138,0.212924000107077
"16","9",0.0125486600146059,0.25435799043812
