cat_ocup,sector,estimate,estimate_cv,frecuencia,quality
1,1,S.I,0.17499121408493615,11,0
1,2,S.I,0,1,0
1,3,NA,NA,NA,NA
1,4,S.I,0.24866476177006464,14,0
1,5,NA,NA,NA,NA
1,6,S.I,0.24366905317984086,12,0
1,7,S.I,0.6174863030781034,20,0
1,8,S.I,0.180426722806151,4,0
1,9,S.I,0.12570787221094168,2,0
1,10,NA,NA,NA,NA
1,11,S.I,0,1,0
1,12,S.I,0,1,0
1,13,NA,NA,NA,NA
2,1,S.I,0.2878708375733447,95,0
2,2,S.I,0.15440929116919117,4,0
2,3,NA,NA,NA,NA
2,4,196363,0.17152763423275505,64,1
2,5,NA,NA,NA,NA
2,6,232179,0.1318231969257247,54,1
2,7,219700,0.08556274502806498,136,1
2,8,S.I,0.1922694550409179,15,0
2,9,S.I,0.2568520421283955,25,0
2,10,NA,NA,NA,NA
2,11,S.I,0.3789176354453608,12,0
2,12,195159,0.16187477259388613,51,1
2,13,S.I,0.3869544144282163,2,0
5,1,165453,0.07171599615369323,174,1
5,2,NA,NA,NA,NA
5,3,S.I,0.09999489834961281,2,0
5,4,S.I,0.06539180520045318,25,0
5,5,S.I,0.27856439484577367,2,0
5,6,251453,0.20059513147057362,51,1
5,7,S.I,0.08171170383516438,35,0
5,8,S.I,0.12306708929295979,22,0
5,9,S.I,0.36668396500598627,24,0
5,10,NA,NA,NA,NA
5,11,S.I,0.30487072343496185,7,0
5,12,279059,0.23870068525946975,52,1
5,13,S.I,0.17890770006956672,15,0
6,1,194573,0.05774430544920079,128,1
6,2,NA,NA,NA,NA
6,3,S.I,0.12387818973731371,8,0
6,4,S.I,0.06838191918994742,23,0
6,5,S.I,0.29317257502272726,6,0
6,6,396187,0.1473072948840611,75,1
6,7,S.I,0.09491801507433786,22,0
6,8,S.I,0.03182293659113021,6,0
6,9,S.I,0.08000028317378703,16,0
6,10,S.I,0,1,0
6,11,S.I,0.18129664118785804,8,0
6,12,522694,0.15611638070929323,122,1
6,13,S.I,0.25706492258105257,37,0
7,1,348886,0.16412407227214743,114,1
7,2,S.I,0.41244900296862574,2,0
7,3,S.I,0.10794599360577857,8,0
7,4,406459,0.12845577879895337,143,1
7,5,S.I,0.19060988662287826,21,0
7,6,401694,0.12409758022921448,59,1
7,7,304780,0.08039288266294028,145,1
7,8,S.I,0.10164314467695647,31,0
7,9,339095,0.06401281391739881,70,1
7,10,S.I,0.08951518837742732,12,0
7,11,S.I,0.14769676081287159,23,0
7,12,530433,0.10550349733567527,310,1
7,13,553274,0.08646524471484882,65,1
