"","provincia","sector","ingreso","se","cv","n","confiable"
"1","Diguillín","Actividades Inmobiliarias, Empresariales y de Alquiler",508075.678092399,21237.8007199971,4.18004672054677,1342,"confiable"
"2","Diguillín","Actividad no especificada",497004.6,73610.7622756819,14.8108814839303,120,"confiable"
"3","Diguillín","Administracion Publica",416278.465256798,27344.6854690604,6.56884459593455,331,"confiable"
"4","Diguillín","Agricultura, Ganadería, Caza y Silvicultura",360662.306726457,15101.889937912,4.18726594275513,1115,"confiable"
"5","Diguillín","Comercio",516462.186696478,19162.0264614702,3.71024771126789,1789,"confiable"
"6","Diguillín","Construcción",561108.714817573,20617.2787497413,3.6743822017529,1343,"confiable"
"7","Diguillín","Electricidad, Gas y Agua",1002507.28571429,128469.45574905,12.8148151718933,112,"confiable"
"8","Diguillín","Explotación de Minas y Canteras",949984.930232558,210646.009196616,22.1736158641011,43,"No confiable"
"9","Diguillín","Hoteles y Restaurantes",367194.276150628,16179.9821007782,4.40638189418316,478,"confiable"
"10","Diguillín","Industria Manufacturera",636376.849474913,28744.0091604332,4.51682194035663,857,"confiable"
"11","Diguillín","Intermediación Financiera",955556.947368421,66634.1599825844,6.97333216676339,342,"confiable"
"12","Diguillín","Pesca",979463,338285.708524164,34.5378751953023,20,"No confiable"
"13","Diguillín","Servicios Sociales y Personales",601409.133375878,19215.1456026306,3.19502058353697,1567,"confiable"
"14","Diguillín","Transporte y Comunicaciones",543010.597765363,25149.1020063191,4.63142010668199,716,"confiable"
"15","Itata","Actividades Inmobiliarias, Empresariales y de Alquiler",471681.76,32308.8658870101,6.84971703951623,175,"confiable"
"16","Itata","Actividad no especificada",325261.333333333,242652.076875224,74.6021896880531,12,"No confiable"
"17","Itata","Administracion Publica",318040.545454545,33376.0841094401,10.4942858973339,66,"confiable"
"18","Itata","Agricultura, Ganadería, Caza y Silvicultura",345542.084142395,20473.8189097145,5.92513035294346,309,"confiable"
"19","Itata","Comercio",447103.483870968,72694.1499886216,16.2589093154105,124,"confiable"
"20","Itata","Construcción",359893.672727273,31472.6717405975,8.74499168104227,110,"confiable"
"21","Itata","Electricidad, Gas y Agua",629077.555555556,122703.127538259,19.5052464445178,18,"No confiable"
"22","Itata","Explotación de Minas y Canteras",445442,61506.782939086,13.8080340289164,6,"No confiable"
"23","Itata","Hoteles y Restaurantes",334435.25,53156.7061296658,15.894468698998,48,"No confiable"
"24","Itata","Industria Manufacturera",522035.352112676,56080.4275236658,10.7426493812552,142,"confiable"
"25","Itata","Intermediación Financiera",893449.866666667,162155.522519641,18.149370050792,15,"No confiable"
"26","Itata","Servicios Sociales y Personales",460821.827160494,50995.8116490738,11.0662752160203,162,"confiable"
"27","Itata","Transporte y Comunicaciones",522175.428571429,46416.5214990034,8.88906657787212,98,"confiable"
"28","Punilla","Actividades Inmobiliarias, Empresariales y de Alquiler",380864.729411765,24155.9831978624,6.34240488353192,340,"confiable"
"29","Punilla","Actividad no especificada",487326,103415.09280744,21.2209266091774,30,"No confiable"
"30","Punilla","Administracion Publica",380655.422680412,44761.0478809522,11.758941345368,97,"confiable"
"31","Punilla","Agricultura, Ganadería, Caza y Silvicultura",350848.953974895,14073.930400993,4.01139300589165,717,"confiable"
"32","Punilla","Comercio",444136.986899563,33686.8055710832,7.58477824741517,458,"confiable"
"33","Punilla","Construcción",604411.990407674,37400.9481147491,6.18798910483597,417,"confiable"
"34","Punilla","Electricidad, Gas y Agua",1270900.59259259,344027.778280414,27.0696056234115,27,"No confiable"
"35","Punilla","Explotación de Minas y Canteras",1096279.11111111,286011.324207989,26.0892797563303,9,"No confiable"
"36","Punilla","Hoteles y Restaurantes",449477.032258065,53412.5384554166,11.8832631307288,124,"confiable"
"37","Punilla","Industria Manufacturera",520422.511945392,42254.0653814572,8.11918477997948,293,"confiable"
"38","Punilla","Intermediación Financiera",696519.6,101070.987523226,14.5108605017326,50,"No confiable"
"39","Punilla","Pesca",478458.666666667,68025.2510783615,14.2175815420548,9,"No confiable"
"40","Punilla","Servicios Sociales y Personales",529432.544891641,42925.9581183663,8.10791828582279,323,"confiable"
"41","Punilla","Transporte y Comunicaciones",462387.169230769,45523.0804893265,9.84523004067328,130,"confiable"
